julian,date
2453960.0,1b421.35
2453960.5,1b421.36
2453961.0,1b421.36
2453961.5,1b421.37
2453962.0,1b421.37
2453962.5,1b421.38
2453963.0,1b421.4b8
2453963.5,1b421.4b7
2453964.0,1b421.4b7
2453964.5,1b421.4b6
2453965.0,1b421.4b6
2453965.5,1b421.4b5
2453966.0,1b421.4b5
2453966.5,1b421.4b4
2453967.0,1b421.4b4
2453967.5,1b421.4b3
2453968.0,1b421.4b3
2453968.5,1b421.4b2
2453969.0,1b421.4b2
2453969.5,1b421.4b1
2453970.0,1b421.4b1
2453970.5,1b421.4b0
2453971.0,1b421.40
2453971.5,1b421.41
2453972.0,1b421.41
2453972.5,1b421.42
2453973.0,1b421.42
2453973.5,1b421.43
2453974.0,1b421.43
2453974.5,1b421.44
2453975.0,1b421.44
2453975.5,1b421.45
2453976.0,1b421.45
2453976.5,1b421.46
2453977.0,1b421.46
2453977.5,1b421.47
2453978.0,1b421.47
2453978.5,1b421.5b7
2453979.0,1b421.5b7
2453979.5,1b421.5b6
2453980.0,1b421.5b6
2453980.5,1b421.5b5
2453981.0,1b421.5b5
2453981.5,1b421.5b4
2453982.0,1b421.5b4
2453982.5,1b421.5b3
2453983.0,1b421.5b3
2453983.5,1b421.5b2
2453984.0,1b421.5b2
2453984.5,1b421.5b1
2453985.0,1b421.5b1
2453985.5,1b421.5b0
2453986.0,1b421.50
2453986.5,1b421.51
2453987.0,1b421.51
2453987.5,1b421.52
2453988.0,1b421.52
2453988.5,1b421.53
2453989.0,1b421.53
2453989.5,1b421.54
2453990.0,1b421.54
2453990.5,1b421.55
2453991.0,1b421.55
2453991.5,1b421.56
2453992.0,1b421.56
2453992.5,1b421.57
2453993.0,1b421.57
2453993.5,1b421.58
2453994.0,1b421.6b8
2453994.5,1b421.6b7
2453995.0,1b421.6b7
2453995.5,1b421.6b6
2453996.0,1b421.6b6
2453996.5,1b421.6b5
2453997.0,1b421.6b5
2453997.5,1b421.6b4
2453998.0,1b421.6b4
2453998.5,1b421.6b3
2453999.0,1b421.6b3
2453999.5,1b421.6b2
2454000.0,1b421.6b2
2454000.5,1b421.6b1
2454001.0,1b421.6b1
2454001.5,1b421.6b0
2454002.0,1b421.60
2454002.5,1b421.61
2454003.0,1b421.61
2454003.5,1b421.62
2454004.0,1b421.62
2454004.5,1b421.63
2454005.0,1b421.63
2454005.5,1b421.64
2454006.0,1b421.64
2454006.5,1b421.65
